Date,Product_Name,Category,Region,Units_Sold,Revenue,Cost,Profit,Customer_Segment,Discount
2023-01-02,Lamp,Home & Garden,West,1,148.4,98.93,49.47,Business,0.1
2023-01-02,Yoga Mat,Sports,Central,3,246.59,147.95,98.64,Enterprise,0.0
2023-01-02,T-Shirt,Clothing,Central,1,99.94,59.97,39.98,Enterprise,0.0
2023-01-02,Tennis Racket,Sports,North,2,351.52,210.91,140.61,Consumer,0.0
2023-01-02,Coffee Table,Home & Garden,West,3,1410.1,846.06,564.04,Business,0.0
2023-01-02,Cookbook,Books,Central,1,13.31,7.99,5.32,Business,0.0
2023-01-02,Jacket,Clothing,South,2,299.79,179.87,119.92,Enterprise,0.0
2023-01-02,Biography,Books,South,3,90.23,54.14,36.09,Enterprise,0.0
2023-01-02,Sofa,Home & Garden,Central,7,2842.03,1705.22,1136.81,Consumer,0.0
2023-01-02,Smartphone,Electronics,Central,2,1007.89,863.91,143.98,Enterprise,0.3
2023-01-02,Headphones,Electronics,South,3,2211.61,1474.4,737.2,Business,0.1
2023-01-02,Self-Help,Books,Central,5,89.62,53.77,35.85,Business,0.0
2023-01-02,Headphones,Electronics,North,5,3365.8,2243.87,1121.93,Enterprise,0.1
2023-01-02,Jacket,Clothing,Central,1,109.42,82.07,27.36,Enterprise,0.2
2023-01-02,Non-Fiction,Books,Central,3,79.24,47.54,31.69,Consumer,0.0
2023-01-02,Smartwatch,Electronics,West,3,1212.5,808.33,404.17,Consumer,0.1
2023-01-02,Non-Fiction,Books,Central,2,78.76,47.26,31.5,Consumer,0.0
2023-01-02,Sofa,Home & Garden,South,2,316.21,189.72,126.48,Business,0.0
2023-01-02,Fiction,Books,West,1,26.09,19.57,6.52,Business,0.2
2023-01-03,Fiction,Books,Central,3,33.65,28.84,4.81,Business,0.3
2023-01-03,Cushion,Home & Garden,Central,1,142.74,107.06,35.69,Consumer,0.2
2023-01-03,Self-Help,Books,South,2,30.24,18.14,12.1,Consumer,0.0
2023-01-03,T-Shirt,Clothing,West,3,161.23,138.2,23.03,Consumer,0.3
2023-01-03,Lamp,Home & Garden,South,5,607.23,364.34,242.89,Consumer,0.0
2023-01-03,Jeans,Clothing,South,1,29.68,19.79,9.89,Consumer,0.1
2023-01-03,T-Shirt,Clothing,North,5,467.9,280.74,187.16,Consumer,0.0
2023-01-03,Jacket,Clothing,East,5,664.75,398.85,265.9,Business,0.0
2023-01-03,Sofa,Home & Garden,North,3,413.46,248.07,165.38,Enterprise,0.0
2023-01-03,Jeans,Clothing,East,4,108.51,65.11,43.4,Enterprise,0.0
2023-01-03,Dumbbells,Sports,East,2,458.9,275.34,183.56,Enterprise,0.0
2023-01-03,Yoga Mat,Sports,East,2,534.98,320.99,213.99,Business,0.0
2023-01-03,Biography,Books,North,8,197.97,169.69,28.28,Consumer,0.3
2023-01-03,Plant Pot,Home & Garden,North,3,384.8,230.88,153.92,Enterprise,0.0
2023-01-03,Lamp,Home & Garden,South,3,730.29,625.96,104.33,Business,0.3
2023-01-03,Non-Fiction,Books,South,9,137.43,91.62,45.81,Consumer,0.1
2023-01-03,Lamp,Home & Garden,West,2,185.36,111.22,74.15,Consumer,0.0
2023-01-03,Tennis Racket,Sports,East,4,798.02,478.81,319.21,Business,0.0
2023-01-03,Headphones,Electronics,North,2,832.23,499.34,332.89,Business,0.0
2023-01-03,Tennis Racket,Sports,West,4,226.33,150.88,75.44,Consumer,0.1
2023-01-03,T-Shirt,Clothing,West,3,298.61,179.17,119.44,Enterprise,0.0
2023-01-03,Fiction,Books,West,3,50.78,30.47,20.31,Consumer,0.0
2023-01-03,Plant Pot,Home & Garden,North,2,734.96,440.97,293.98,Enterprise,0.0
2023-01-03,Cookbook,Books,West,0,0.0,0.0,0.0,Business,0.0
2023-01-03,Shoes,Clothing,South,1,57.75,34.65,23.1,Business,0.0
2023-01-03,Fiction,Books,West,4,111.29,95.39,15.9,Enterprise,0.3
2023-01-03,Biography,Books,South,5,197.01,118.21,78.8,Enterprise,0.0
2023-01-03,Plant Pot,Home & Garden,North,5,2486.11,1491.67,994.44,Consumer,0.0
2023-01-03,T-Shirt,Clothing,South,2,334.96,200.98,133.99,Consumer,0.0
2023-01-03,Non-Fiction,Books,West,1,45.79,27.48,18.32,Consumer,0.0
2023-01-03,Dumbbells,Sports,East,2,388.66,259.11,129.55,Enterprise,0.1
2023-01-03,Coffee Table,Home & Garden,North,3,667.26,400.35,266.9,Consumer,0.0
2023-01-03,Sofa,Home & Garden,East,2,607.73,405.15,202.58,Business,0.1
2023-01-03,Self-Help,Books,East,1,18.41,11.05,7.36,Business,0.0
2023-01-03,Dress,Clothing,North,1,185.76,111.45,74.3,Enterprise,0.0
2023-01-03,Cookbook,Books,West,1,22.43,14.95,7.48,Enterprise,0.1
2023-01-03,Running Shoes,Sports,East,5,966.96,828.83,138.14,Consumer,0.3
2023-01-04,Jeans,Clothing,Central,1,161.75,107.84,53.92,Enterprise,0.1
2023-01-04,Smartphone,Electronics,Central,1,484.12,414.96,69.16,Consumer,0.3
2023-01-04,Basketball,Sports,South,7,866.33,742.57,123.76,Business,0.3
2023-01-04,Jeans,Clothing,North,0,0.0,0.0,0.0,Enterprise,0.0
2023-01-04,Biography,Books,Central,3,99.15,59.49,39.66,Business,0.0
2023-01-04,Non-Fiction,Books,Central,2,28.91,19.27,9.64,Enterprise,0.1
2023-01-04,Yoga Mat,Sports,East,4,538.43,461.51,76.92,Enterprise,0.3
2023-01-04,Smartphone,Electronics,Central,2,1996.56,1197.94,798.62,Business,0.0
2023-01-04,Biography,Books,South,3,58.89,35.33,23.56,Consumer,0.0
2023-01-04,T-Shirt,Clothing,South,2,124.63,74.78,49.85,Enterprise,0.0
2023-01-04,Lamp,Home & Garden,West,3,1317.33,790.4,526.93,Consumer,0.0
2023-01-04,Dumbbells,Sports,East,3,263.6,158.16,105.44,Enterprise,0.0
2023-01-04,Tablet,Electronics,North,4,1362.15,817.29,544.86,Business,0.0
2023-01-04,Smartphone,Electronics,Central,1,1084.32,650.59,433.73,Consumer,0.0
2023-01-04,Coffee Table,Home & Garden,South,3,660.52,396.31,264.21,Business,0.0
2023-01-04,Dumbbells,Sports,North,4,1079.19,647.52,431.68,Enterprise,0.0
2023-01-04,Jacket,Clothing,South,4,186.52,111.91,74.61,Consumer,0.0
2023-01-04,Tablet,Electronics,South,3,1932.83,1449.62,483.21,Consumer,0.2
2023-01-04,Dress,Clothing,North,2,197.95,131.97,65.98,Business,0.1
2023-01-04,Self-Help,Books,West,0,0.0,0.0,0.0,Enterprise,0.0
2023-01-04,T-Shirt,Clothing,Central,1,150.17,90.1,60.07,Business,0.0
2023-01-04,Biography,Books,South,4,136.31,81.79,54.53,Enterprise,0.0
2023-01-04,Jacket,Clothing,West,4,660.41,396.25,264.16,Enterprise,0.0
2023-01-04,Shoes,Clothing,South,4,655.25,393.15,262.1,Business,0.0
2023-01-04,Shoes,Clothing,Central,2,274.76,164.86,109.9,Business,0.0
2023-01-04,Tennis Racket,Sports,South,3,375.08,225.05,150.03,Business,0.0
2023-01-04,Cookbook,Books,East,5,144.71,124.04,20.67,Consumer,0.3
2023-01-04,Sofa,Home & Garden,West,1,270.82,162.49,108.33,Enterprise,0.0
2023-01-04,Basketball,Sports,North,2,240.68,144.41,96.27,Enterprise,0.0
2023-01-04,Fiction,Books,North,3,110.18,66.11,44.07,Business,0.0
2023-01-04,Headphones,Electronics,Central,4,2798.35,1679.01,1119.34,Business,0.0
2023-01-04,Plant Pot,Home & Garden,South,1,330.02,247.51,82.5,Business,0.2
2023-01-04,Cushion,Home & Garden,South,2,563.13,422.35,140.78,Consumer,0.2
2023-01-04,Dumbbells,Sports,North,2,372.48,319.27,53.21,Enterprise,0.3
2023-01-04,Sofa,Home & Garden,West,2,489.96,293.97,195.98,Enterprise,0.0
2023-01-04,Jacket,Clothing,West,2,347.21,231.47,115.74,Enterprise,0.1
2023-01-04,Cookbook,Books,Central,2,54.61,40.96,13.65,Business,0.2
2023-01-04,Shoes,Clothing,West,4,428.82,257.29,171.53,Consumer,0.0
2023-01-04,Laptop,Electronics,West,2,1635.91,981.54,654.36,Consumer,0.0
2023-01-04,Smartwatch,Electronics,West,0,0.0,0.0,0.0,Business,0.0
2023-01-04,Running Shoes,Sports,South,2,293.2,175.92,117.28,Consumer,0.0
2023-01-04,Biography,Books,East,3,89.05,53.43,35.62,Business,0.0
2023-01-04,Jacket,Clothing,East,1,78.11,52.08,26.04,Business,0.1
2023-01-04,Cookbook,Books,Central,4,48.24,32.16,16.08,Business,0.1
2023-01-04,Fiction,Books,East,2,76.89,46.13,30.75,Enterprise,0.0
2023-01-04,Dress,Clothing,West,1,48.05,28.83,19.22,Consumer,0.0
2023-01-04,Jacket,Clothing,East,3,369.57,277.18,92.39,Consumer,0.2
2023-01-04,Dumbbells,Sports,Central,3,202.97,135.31,67.66,Enterprise,0.1
2023-01-04,Cookbook,Books,North,1,19.1,11.46,7.64,Enterprise,0.0
2023-01-05,Running Shoes,Sports,North,2,234.94,156.63,78.31,Business,0.1
2023-01-05,Dumbbells,Sports,East,1,165.76,99.46,66.3,Consumer,0.0
2023-01-05,Self-Help,Books,East,3,88.4,53.04,35.36,Consumer,0.0
2023-01-05,Cookbook,Books,East,3,31.84,19.11,12.74,Business,0.0
2023-01-05,Basketball,Sports,Central,1,36.69,27.52,9.17,Consumer,0.2
2023-01-05,Fiction,Books,South,3,55.8,33.48,22.32,Business,0.0
2023-01-05,Smartphone,Electronics,West,8,3269.26,1961.56,1307.7,Business,0.0
2023-01-05,Biography,Books,North,1,32.93,19.76,13.17,Consumer,0.0
2023-01-05,Smartwatch,Electronics,East,3,1431.47,858.88,572.59,Business,0.0
2023-01-05,Jacket,Clothing,West,5,986.52,591.91,394.61,Business,0.0
2023-01-05,Non-Fiction,Books,East,2,77.66,58.25,19.42,Business,0.2
2023-01-05,Fiction,Books,Central,3,144.13,86.48,57.65,Enterprise,0.0
2023-01-05,Smartphone,Electronics,West,4,1314.92,788.95,525.97,Enterprise,0.0
2023-01-05,Tablet,Electronics,South,2,618.69,371.21,247.47,Enterprise,0.0
2023-01-05,Self-Help,Books,North,3,73.38,44.03,29.35,Consumer,0.0
2023-01-05,Headphones,Electronics,Central,4,4470.91,2682.55,1788.36,Business,0.0
2023-01-05,Cookbook,Books,South,2,54.38,32.63,21.75,Enterprise,0.0
2023-01-05,Tennis Racket,Sports,North,2,537.8,322.68,215.12,Business,0.0
2023-01-05,Basketball,Sports,West,1,58.67,35.2,23.47,Business,0.0
2023-01-05,Jeans,Clothing,East,4,644.44,429.62,214.81,Consumer,0.1
2023-01-05,Dress,Clothing,North,2,63.1,37.86,25.24,Consumer,0.0
2023-01-05,Lamp,Home & Garden,Central,3,1192.5,715.5,477.0,Business,0.0
2023-01-05,Running Shoes,Sports,Central,2,470.96,282.58,188.39,Consumer,0.0
2023-01-05,Dress,Clothing,Central,4,759.21,455.53,303.68,Business,0.0
2023-01-05,Cookbook,Books,Central,1,14.36,8.62,5.74,Consumer,0.0
2023-01-05,Lamp,Home & Garden,North,2,321.52,192.91,128.61,Consumer,0.0
2023-01-05,Headphones,Electronics,West,4,3147.27,2360.45,786.82,Consumer,0.2
2023-01-05,Cookbook,Books,North,3,75.3,56.48,18.83,Enterprise,0.2
2023-01-05,Shoes,Clothing,South,2,259.93,194.95,64.98,Business,0.2
2023-01-05,Cookbook,Books,Central,1,10.1,6.06,4.04,Enterprise,0.0
2023-01-05,Coffee Table,Home & Garden,North,4,484.17,363.13,121.04,Consumer,0.2
2023-01-05,Tablet,Electronics,South,1,853.87,640.41,213.47,Consumer,0.2
2023-01-06,Lamp,Home & Garden,West,5,2245.64,1347.38,898.26,Enterprise,0.0
2023-01-06,Jacket,Clothing,West,1,128.52,77.11,51.41,Business,0.0
2023-01-06,Biography,Books,Central,1,18.36,11.01,7.34,Consumer,0.0
2023-01-06,Smartwatch,Electronics,East,6,6165.82,3699.49,2466.33,Business,0.0
2023-01-06,Tennis Racket,Sports,South,6,1271.42,762.85,508.57,Enterprise,0.0
2023-01-06,Jeans,Clothing,North,1,91.75,55.05,36.7,Enterprise,0.0
2023-01-06,Non-Fiction,Books,East,4,70.5,47.0,23.5,Consumer,0.1
2023-01-06,Self-Help,Books,East,5,135.08,90.05,45.03,Enterprise,0.1
2023-01-06,Plant Pot,Home & Garden,Central,5,1284.98,963.74,321.25,Consumer,0.2
2023-01-06,Biography,Books,South,2,91.0,54.6,36.4,Enterprise,0.0
2023-01-06,Plant Pot,Home & Garden,West,5,2378.94,1427.37,951.58,Consumer,0.0
2023-01-06,Smartphone,Electronics,South,6,1845.76,1384.32,461.44,Consumer,0.2
2023-01-06,Dumbbells,Sports,South,2,154.05,92.43,61.62,Business,0.0
2023-01-06,Dress,Clothing,East,3,430.08,258.05,172.03,Business,0.0
2023-01-06,T-Shirt,Clothing,North,1,188.2,112.92,75.28,Enterprise,0.0
2023-01-06,Biography,Books,Central,3,143.03,85.82,57.21,Enterprise,0.0
2023-01-06,Cushion,Home & Garden,North,3,1425.09,855.05,570.03,Enterprise,0.0
2023-01-06,Jeans,Clothing,South,5,890.93,534.56,356.37,Consumer,0.0
2023-01-06,Running Shoes,Sports,Central,1,182.37,136.78,45.59,Enterprise,0.2
2023-01-06,T-Shirt,Clothing,South,3,85.25,51.15,34.1,Consumer,0.0
2023-01-06,Yoga Mat,Sports,Central,5,1305.3,870.2,435.1,Enterprise,0.1
2023-01-06,Laptop,Electronics,North,1,741.28,444.77,296.51,Business,0.0
2023-01-06,Fiction,Books,Central,2,40.86,24.52,16.35,Enterprise,0.0
2023-01-06,Shoes,Clothing,South,4,394.54,236.72,157.82,Consumer,0.0
2023-01-06,T-Shirt,Clothing,South,2,73.16,43.9,29.27,Enterprise,0.0
2023-01-06,Self-Help,Books,South,2,70.41,42.25,28.17,Business,0.0
2023-01-06,Sofa,Home & Garden,North,2,289.47,192.98,96.49,Enterprise,0.1
2023-01-06,Lamp,Home & Garden,Central,2,254.97,152.98,101.99,Enterprise,0.0
2023-01-06,Self-Help,Books,South,2,88.83,53.3,35.53,Consumer,0.0
2023-01-06,Lamp,Home & Garden,South,2,690.86,518.15,172.72,Business,0.2
2023-01-06,Dress,Clothing,Central,2,232.49,139.5,93.0,Enterprise,0.0
2023-01-06,Sofa,Home & Garden,East,2,342.07,205.24,136.83,Consumer,0.0
2023-01-06,Shoes,Clothing,West,2,122.77,81.85,40.92,Consumer,0.1
2023-01-06,Running Shoes,Sports,Central,3,614.01,368.41,245.6,Consumer,0.0
2023-01-06,T-Shirt,Clothing,Central,4,559.85,479.87,79.98,Business,0.3
2023-01-06,Cookbook,Books,West,2,86.51,57.67,28.84,Business,0.1
2023-01-06,Jacket,Clothing,Central,3,447.9,268.74,179.16,Consumer,0.0
2023-01-06,Laptop,Electronics,West,2,857.18,514.31,342.87,Consumer,0.0
2023-01-07,Fiction,Books,West,6,244.63,163.09,81.54,Enterprise,0.1
2023-01-07,Jacket,Clothing,South,2,324.69,194.82,129.88,Enterprise,0.0
2023-01-07,Coffee Table,Home & Garden,Central,1,307.99,184.79,123.2,Consumer,0.0
2023-01-07,T-Shirt,Clothing,East,1,165.12,99.07,66.05,Consumer,0.0
2023-01-07,Running Shoes,Sports,South,3,310.99,207.33,103.66,Enterprise,0.1
2023-01-07,Smartwatch,Electronics,East,4,1245.63,1067.68,177.95,Business,0.3
2023-01-07,Shoes,Clothing,West,1,27.56,16.53,11.02,Consumer,0.0
2023-01-07,Jeans,Clothing,Central,5,872.29,523.37,348.92,Consumer,0.0
2023-01-07,Self-Help,Books,South,4,71.98,61.7,10.28,Consumer,0.3
2023-01-07,Tablet,Electronics,Central,5,5820.29,3492.17,2328.12,Business,0.0
2023-01-07,Smartwatch,Electronics,East,1,1170.68,702.41,468.27,Enterprise,0.0
2023-01-07,Running Shoes,Sports,Central,1,106.77,64.06,42.71,Consumer,0.0
2023-01-07,Plant Pot,Home & Garden,West,1,368.28,220.97,147.31,Enterprise,0.0
2023-01-07,Running Shoes,Sports,East,6,1526.31,915.78,610.52,Enterprise,0.0
2023-01-07,Non-Fiction,Books,North,1,41.28,27.52,13.76,Consumer,0.1
2023-01-07,T-Shirt,Clothing,North,2,372.96,223.78,149.19,Enterprise,0.0
2023-01-07,Laptop,Electronics,North,3,1760.44,1056.27,704.18,Consumer,0.0
2023-01-07,T-Shirt,Clothing,Central,2,154.81,92.88,61.92,Consumer,0.0
2023-01-07,Lamp,Home & Garden,Central,2,423.36,282.24,141.12,Business,0.1
2023-01-07,Smartwatch,Electronics,Central,1,811.81,541.21,270.6,Consumer,0.1
2023-01-07,Tennis Racket,Sports,South,5,1206.93,804.62,402.31,Consumer,0.1
2023-01-07,Cookbook,Books,Central,2,68.69,58.87,9.81,Consumer,0.3
2023-01-07,Biography,Books,South,3,49.29,29.58,19.72,Consumer,0.0
2023-01-07,Sofa,Home & Garden,Central,7,991.28,594.77,396.51,Business,0.0
2023-01-07,Non-Fiction,Books,East,0,0.0,0.0,0.0,Enterprise,0.0
2023-01-07,Cookbook,Books,East,1,37.51,28.14,9.38,Consumer,0.2
2023-01-07,T-Shirt,Clothing,South,3,189.46,126.31,63.15,Consumer,0.1
2023-01-07,Jacket,Clothing,South,3,502.81,301.69,201.12,Consumer,0.0
2023-01-07,Dumbbells,Sports,Central,3,464.46,278.68,185.78,Consumer,0.0
2023-01-07,Cushion,Home & Garden,North,5,1108.44,665.06,443.37,Consumer,0.0
2023-01-07,Basketball,Sports,North,6,390.94,234.56,156.38,Enterprise,0.0
2023-01-07,Jeans,Clothing,West,4,565.89,377.26,188.63,Enterprise,0.1
2023-01-07,Cookbook,Books,South,3,52.44,39.33,13.11,Consumer,0.2
2023-01-07,Non-Fiction,Books,North,3,54.86,36.58,18.29,Business,0.1
2023-01-07,Self-Help,Books,South,1,45.6,27.36,18.24,Consumer,0.0
2023-01-07,Tennis Racket,Sports,North,2,325.6,195.36,130.24,Business,0.0
2023-01-07,Headphones,Electronics,East,2,1438.21,1078.66,359.55,Consumer,0.2
2023-01-07,Fiction,Books,East,5,163.62,98.17,65.45,Business,0.0
2023-01-07,Jeans,Clothing,East,2,134.35,80.61,53.74,Business,0.0
2023-01-07,T-Shirt,Clothing,East,2,220.42,132.25,88.17,Consumer,0.0
2023-01-08,Basketball,Sports,South,3,781.98,469.19,312.79,Enterprise,0.0
2023-01-08,Lamp,Home & Garden,West,4,608.66,365.2,243.46,Enterprise,0.0
2023-01-08,Cushion,Home & Garden,East,3,811.17,608.38,202.79,Business,0.2
2023-01-08,Non-Fiction,Books,West,3,115.68,86.76,28.92,Enterprise,0.2
2023-01-08,Tennis Racket,Sports,South,3,582.06,349.24,232.82,Consumer,0.0
2023-01-08,Dress,Clothing,North,2,207.92,124.75,83.17,Consumer,0.0
2023-01-08,Smartwatch,Electronics,North,2,1686.45,1124.3,562.15,Business,0.1
2023-01-08,Dress,Clothing,East,2,127.96,76.78,51.18,Consumer,0.0
2023-01-08,Cushion,Home & Garden,West,5,2425.64,1455.38,970.25,Enterprise,0.0
2023-01-08,Basketball,Sports,Central,3,801.19,480.71,320.48,Enterprise,0.0
2023-01-08,Cookbook,Books,East,7,333.82,200.29,133.53,Business,0.0
2023-01-08,Lamp,Home & Garden,North,1,419.02,251.41,167.61,Enterprise,0.0
2023-01-08,Biography,Books,South,4,94.65,81.13,13.52,Consumer,0.3
2023-01-08,Jeans,Clothing,East,4,652.15,391.29,260.86,Business,0.0
2023-01-08,Shoes,Clothing,South,3,192.84,115.7,77.13,Enterprise,0.0
2023-01-08,Jacket,Clothing,Central,3,251.24,167.5,83.75,Consumer,0.1
2023-01-08,Basketball,Sports,Central,5,454.12,272.47,181.65,Enterprise,0.0
2023-01-08,Tennis Racket,Sports,East,3,709.4,425.64,283.76,Business,0.0
2023-01-08,Laptop,Electronics,West,3,1334.19,1000.64,333.55,Consumer,0.2
2023-01-08,Running Shoes,Sports,West,1,269.67,161.8,107.87,Consumer,0.0
2023-01-08,Cookbook,Books,South,2,72.21,43.33,28.89,Enterprise,0.0
2023-01-08,Dumbbells,Sports,South,1,214.58,160.93,53.64,Business,0.2
2023-01-08,Headphones,Electronics,East,3,1907.84,1144.7,763.13,Consumer,0.0
2023-01-08,Yoga Mat,Sports,East,1,286.79,172.08,114.72,Enterprise,0.0
2023-01-08,Dumbbells,Sports,South,0,0.0,0.0,0.0,Enterprise,0.0
2023-01-08,Smartphone,Electronics,South,3,2362.11,1417.27,944.85,Enterprise,0.0
2023-01-08,Smartwatch,Electronics,East,2,929.17,557.5,371.67,Enterprise,0.0
2023-01-08,Dumbbells,Sports,Central,2,388.81,233.28,155.52,Consumer,0.0
2023-01-08,Smartphone,Electronics,East,1,1142.23,685.34,456.89,Consumer,0.0
2023-01-08,Biography,Books,East,4,39.57,29.68,9.89,Enterprise,0.2
2023-01-08,Non-Fiction,Books,West,2,95.1,57.06,38.04,Consumer,0.0
2023-01-08,Lamp,Home & Garden,West,7,500.58,300.35,200.23,Business,0.0
2023-01-08,Tennis Racket,Sports,North,4,445.6,267.36,178.24,Enterprise,0.0
2023-01-08,Cushion,Home & Garden,Central,0,0.0,0.0,0.0,Business,0.1
2023-01-08,Tennis Racket,Sports,South,4,606.24,519.64,86.61,Enterprise,0.3
2023-01-08,Fiction,Books,Central,1,11.71,10.04,1.67,Business,0.3
2023-01-08,Dumbbells,Sports,North,2,62.48,46.86,15.62,Enterprise,0.2
2023-01-08,Dress,Clothing,North,1,57.04,34.23,22.82,Consumer,0.0
2023-01-08,Fiction,Books,East,2,66.82,40.09,26.73,Enterprise,0.0
2023-01-08,Plant Pot,Home & Garden,West,2,980.09,588.06,392.04,Enterprise,0.0
2023-01-08,Self-Help,Books,Central,1,40.03,24.02,16.01,Enterprise,0.0
2023-01-08,Jeans,Clothing,West,2,67.38,40.43,26.95,Business,0.0
2023-01-08,Cushion,Home & Garden,South,5,585.73,390.48,195.24,Business,0.1
2023-01-09,Basketball,Sports,West,1,219.14,131.48,87.66,Consumer,0.0
2023-01-09,Tablet,Electronics,West,3,1746.61,1309.96,436.65,Business,0.2
2023-01-09,Jacket,Clothing,West,9,524.4,314.64,209.76,Business,0.0
2023-01-09,Cushion,Home & Garden,Central,2,130.9,78.54,52.36,Business,0.0
2023-01-09,T-Shirt,Clothing,North,1,47.79,28.67,19.11,Enterprise,0.0
2023-01-09,Headphones,Electronics,Central,1,927.31,556.38,370.92,Business,0.0
